Sample_Platform,Normalized_ID,RefSeq_MeanDepth,Intersect_MeanDepth,RefSeq_ZeroCov_Pct,Int_ZeroCov_Pct,Fastq_error_rate,avg_duplication_rate,DUP_PERCENT,DUP_STATS,insert_size_average,hs_AT_DROPOUT,hs_GC_DROPOUT,Int_MeanDepth,Int_Fold80,Int_Pct30X,Efficiency_Delta_Fold80,Diagnostic_Yield_Ratio
2408070565_Agilent,2408070565,121.20,139.50,0.0120,0.0060,0.00042,0.1140,11.40,0.11,168.50,2.45,1.22,139.50,1.41,97.10,0.23,64.20
2408070565_Illumina,2408070565,146.80,172.40,0.0030,0.0010,0.00038,0.0720,7.20,0.07,162.10,1.12,3.85,172.40,1.27,99.50,0.14,77.50
2408070566_Agilent,2408070566,116.50,133.20,0.0150,0.0070,0.00045,0.1080,10.80,0.10,171.00,2.60,1.15,133.20,1.43,96.80,0.25,63.10
2408070566_Illumina,2408070566,138.20,164.10,0.0020,0.0010,0.00035,0.0690,6.90,0.06,159.80,1.08,3.62,164.10,1.26,99.60,0.13,78.20
2408070567_Agilent,2408070567,125.40,142.10,0.0110,0.0050,0.00041,0.1210,12.10,0.12,165.40,2.80,1.28,142.10,1.44,96.50,0.26,62.80
2408070567_Illumina,2408070567,152.00,179.80,0.0030,0.0010,0.00036,0.0780,7.80,0.07,163.50,1.20,4.10,179.80,1.28,99.40,0.15,76.40
2408070568_Agilent,2408070568,120.80,137.90,0.0130,0.0060,0.00043,0.1120,11.20,0.11,167.00,2.52,1.20,137.90,1.42,96.90,0.24,63.80
2408070568_Illumina,2408070568,145.20,171.00,0.0030,0.0010,0.00037,0.0740,7.40,0.07,161.00,1.15,3.78,171.00,1.27,99.50,0.14,77.20
2408070569_Agilent,2408070569,122.50,140.20,0.0110,0.0050,0.00040,0.1180,11.80,0.11,166.20,2.48,1.25,140.20,1.41,97.20,0.23,64.50
2408070569_Illumina,2408070569,148.00,174.50,0.0020,0.0010,0.00036,0.0710,7.10,0.07,162.80,1.10,3.90,174.50,1.26,99.60,0.13,78.00
2408070570_Agilent,2408070570,118.00,135.00,0.0140,0.0060,0.00044,0.1100,11.00,0.11,169.10,2.65,1.18,135.00,1.43,96.60,0.25,63.20
2408070570_Illumina,2408070570,141.50,168.00,0.0030,0.0010,0.00039,0.0750,7.50,0.07,160.20,1.14,3.70,168.00,1.27,99.40,0.14,77.00
2408070571_Agilent,2408070571,119.50,136.80,0.0130,0.0060,0.00042,0.1150,11.50,0.11,168.00,2.58,1.21,136.80,1.42,96.70,0.24,63.50
2408070571_Illumina,2408070571,143.00,169.50,0.0030,0.0010,0.00038,0.0730,7.30,0.07,161.50,1.13,3.82,169.50,1.27,99.50,0.14,77.30
Cohorte_Agilent_Mean,Cohorte_Mean,121.00,138.30,0.0130,0.0060,0.00042,0.1145,11.45,0.11,167.50,2.62,1.22,138.30,1.43,96.80,0.25,63.40
Cohorte_Illumina_Mean,Cohorte_Mean,145.70,172.10,0.0030,0.0010,0.00037,0.0732,7.32,0.07,161.80,1.13,3.86,172.10,1.27,99.50,0.14,77.40
