exon_id,gene_symbol,chr_pos,exon_number,transcript_id,gc_content_pct,agilent_depth,illumina_depth,agilent_criticality,illumina_criticality,rank_percentile,pathology_category,design_notes
MAPT_Exon1_chr17:45982000-45982150,MAPT,chr17:45982000-45982150,Exon 1,NM_005910.6,82.4,14.2,128.5,P1 (Échec),Standard,0.5,Neurologie / Démence Frontotemporale,Opportunité Design Illumina : Gain majeur de couvrance sur exon 1 GC-rich
SOD1_Exon3_chr21:31662000-31662120,SOD1,chr21:31662000-31662120,Exon 3,NM_000454.4,76.8,11.8,112.4,P1 (Échec),Standard,0.8,SLA / Maladie de Charcot,Opportunité Design Illumina : Couvrance rétablie de 11.8x à 112.4x
KCNQ2_Exon1_chr20:62040000-62040180,KCNQ2,chr20:62040000-62040180,Exon 1,NM_172107.4,81.1,18.5,145.0,P1 (Échec),Standard,1.2,Épilepsie Néonatale Précoce,Opportunité Design Illumina : Bascule conseillée pour diagnostic épileptique
SCN1A_Exon26_chr2:166848000-166848140,SCN1A,chr2:166848000-166848140,Exon 26,NM_001165963.4,32.5,24.1,138.6,P5 (Sub-optimal),Standard,1.8,Syndrome de Dravet,Illumina surpasse la déplection AT d Agilent
BRCA1_Exon1_chr17:43124000-43124180,BRCA1,chr17:43124000-43124180,Exon 1,NM_007294.4,79.5,19.2,108.2,P1 (Échec),Standard,2.1,Onco-génétique (Sein/Ovaire),Opportunité Design Illumina : Exon 1 BRCA1 sécurisé >100x
BRCA2_Exon3_chr13:32332000-32332190,BRCA2,chr13:32332000-32332190,Exon 3,NM_000059.4,34.2,42.0,121.5,P5 (Sub-optimal),Standard,2.5,Onco-génétique (Sein/Ovaire),Uniformité Illumina supérieure
MYH7_Exon12_chr14:23425000-23425160,MYH7,chr14:23425000-23425160,Exon 12,NM_000257.4,74.2,16.8,98.4,P1 (Échec),P10 (Avertissement),2.9,Cardiomyopathie Hypertrophique,Illumina rehausse la profondeur proche du seuil 100x
TTN_Exon326_chr2:178520000-178520200,TTN,chr2:178520000-178520200,Exon 326,NM_001267550.2,28.4,18.0,88.2,P1 (Échec),P10 (Avertissement),3.2,Myopathie & Cardiomyopathie,Région répétitive AT-rich mieux tolérée par Illumina
FGFR3_Exon1_chr4:1800000-1800180,FGFR3,chr4:1800000-1800180,Exon 1,NM_000142.5,84.5,102.5,15.2,Standard,P1 (Échec),3.6,Chondrodysplasie / Achondroplasie,Avantage Sondes ARN Agilent v8 sur GC extrême (>84%)
STXBP1_Exon2_chr9:130400000-130400150,STXBP1,chr9:130400000-130400150,Exon 2,NM_003165.6,77.9,15.4,119.8,P1 (Échec),Standard,4.0,Encéphalopathie Développementale,Opportunité Design Illumina : Diagnostic neurologique sécurisé
